index,MAE,RMSE,Bias,r
0,0.5673041939735413,1.9147989749908447,-0.21624968945980072,0.6567465793992362
1,0.5663022398948669,1.8650295734405518,-0.20156973600387573,0.6899152890424575
2,2.1665279865264893,4.247671127319336,1.188817024230957,-0.034799960730623344
3,0.5615738034248352,2.001997470855713,-0.22694061696529388,0.6252916797733865
4,0.5813899040222168,1.8837289810180664,-0.2322523295879364,0.6228684577670599
5,0.5792152285575867,1.9743963479995728,-0.21284618973731995,0.6581887584032653
6,1.522058129310608,2.8394768238067627,0.5145450830459595,-0.09123432794338608
7,1.6503691673278809,3.4634861946105957,0.5560598373413086,-0.10836024874722813
8,1.2263818979263306,2.614588499069214,0.24152721464633942,-0.1324691696255372
9,1.45819091796875,3.035508394241333,0.4558941423892975,-0.08310423928411921
10,0.5668445825576782,1.8387458324432373,-0.2163943350315094,0.6167027649146086
11,0.5638632774353027,1.7744224071502686,-0.22129754722118378,0.6402526996226893
12,1.2138227224349976,2.849663734436035,0.230509415268898,-0.10681427309820908
13,0.585648238658905,1.924020767211914,-0.19010284543037415,0.6595954046458811
14,0.5511528849601746,1.8982380628585815,-0.20030449330806732,0.7198973831688854
15,1.1715420484542847,2.7260148525238037,0.21553823351860046,-0.09704733145983817
16,0.5728773474693298,1.8520022630691528,-0.21616396307945251,0.618385858057388
17,1.3908905982971191,2.6659762859344482,0.41789722442626953,-0.08987014332714119
18,1.339763879776001,2.824445962905884,0.30549198389053345,-0.13979844206299816
19,1.5636643171310425,2.9844462871551514,0.5631757378578186,-0.09598888381346629
20,1.3793625831604004,2.7806806564331055,0.3929683268070221,-0.09032706801061283
21,0.5702592730522156,1.8166409730911255,-0.19843415915966034,0.663936183711907
22,0.580123782157898,1.9272375106811523,-0.21359361708164215,0.6724207208248252
23,0.5693363547325134,1.853951334953308,-0.2187751680612564,0.63033076663337
24,1.1275984048843384,2.4694576263427734,0.18729691207408905,-0.10874717904842478
25,0.5713138580322266,1.9211442470550537,-0.21878597140312195,0.6525021951897806
26,0.5795707702636719,2.0720865726470947,-0.22725149989128113,0.6195338808504431
27,0.5580828785896301,1.8180359601974487,-0.21601545810699463,0.6644193394478263
28,0.5520473718643188,1.6801319122314453,-0.21901720762252808,0.6945494185777891
29,0.5501539707183838,1.7616596221923828,-0.23301412165164948,0.66328122451972
30,1.3156169652938843,2.6442885398864746,0.372679203748703,-0.061784575844199704
31,0.5821434855461121,1.8778761625289917,-0.18325446546077728,0.6639153960186958
32,1.9494857788085938,3.7023680210113525,0.9017940759658813,-0.08520493503664808
33,0.5739949345588684,1.8509994745254517,-0.2144995480775833,0.7023577085096916
34,1.7314631938934326,3.330901861190796,0.7038383483886719,-0.11679103800848817
35,0.5450143218040466,1.6051239967346191,-0.20387527346611023,0.6745336412321885
36,0.5678578019142151,1.8006386756896973,-0.20799143612384796,0.6856675264723411
37,1.2249993085861206,2.675466537475586,0.24304696917533875,-0.0967963941480155
38,1.4542769193649292,2.776489734649658,0.4576377272605896,-0.11426743170812023
39,0.5754276514053345,1.8762754201889038,-0.18094085156917572,0.6475860359300981
40,0.548886239528656,1.7612028121948242,-0.23191790282726288,0.6309618054528296
41,0.5510185956954956,1.7666583061218262,-0.26369717717170715,0.6333663714343121
42,1.4887343645095825,2.909263849258423,0.4638976752758026,-0.10378439801127944
43,0.5723629593849182,1.8220922946929932,-0.20499692857265472,0.6140371209246385
44,0.5668243765830994,1.9645309448242188,-0.19565628468990326,0.644572989579619
45,1.3506052494049072,2.8277924060821533,0.3586742877960205,-0.0613918461393058
46,0.5614299774169922,1.749348759651184,-0.2026442587375641,0.6553470185473335
47,0.5638924837112427,1.8901512622833252,-0.19449977576732635,0.6749695627082367
48,1.2192437648773193,2.6232645511627197,0.2491554617881775,-0.10306878512438547
49,0.5575988292694092,1.7152292728424072,-0.19357897341251373,0.7060655030192943
50,1.273832082748413,2.6702263355255127,0.3189220726490021,-0.08978544528050772
51,1.9495707750320435,3.952702045440674,0.9040047526359558,-0.0680125471982571
52,0.5521239638328552,1.6625456809997559,-0.22580358386039734,0.6997151455113537
53,0.571306586265564,1.8684086799621582,-0.2010972499847412,0.6349409480318713
54,0.5842971801757812,1.846476674079895,-0.2057049572467804,0.6067719353231926
55,1.189522385597229,2.5806100368499756,0.2230190485715866,-0.12370022598084425
56,0.5562298893928528,1.798684000968933,-0.22569194436073303,0.6852237146220841
57,0.5255143642425537,1.6038368940353394,-0.19772869348526,0.6808542632239747
58,0.5684807896614075,1.8228076696395874,-0.19423487782478333,0.6283377054805576
59,1.493869662284851,3.1544318199157715,0.47594261169433594,-0.07013740608009605
60,0.5665850043296814,1.7476118803024292,-0.19558961689472198,0.6659947663037394
61,1.7141317129135132,3.2756683826446533,0.7576350569725037,-0.06758573177684961
62,0.5650191307067871,1.776355504989624,-0.2056831419467926,0.657674628610779
63,1.319434404373169,2.783416509628296,0.34770721197128296,-0.08980177239097906
64,1.498081922531128,2.940448760986328,0.49802160263061523,-0.08923747964833662
65,0.5662897825241089,1.7790299654006958,-0.21796107292175293,0.6485052865032411
66,2.946786880493164,6.058947563171387,1.8872523307800293,-0.04770670054477223
67,0.5697263479232788,1.903641700744629,-0.21030639111995697,0.6579850265121948
68,1.1747829914093018,2.95060396194458,0.18662060797214508,-0.10115651983712085
69,0.5609233975410461,1.9084715843200684,-0.2112722545862198,0.6848957379986361
70,1.3224494457244873,2.670013189315796,0.3629666268825531,-0.09349972440831601
71,1.2520079612731934,2.6811797618865967,0.2848787307739258,-0.08283985325001786
72,1.7668932676315308,3.5656518936157227,0.7159051299095154,-0.08434763616603327
73,1.9080878496170044,3.8123598098754883,0.9081737399101257,-0.06751408566661107
74,0.5786495208740234,1.9961214065551758,-0.17429791390895844,0.6609384376441088
75,0.5718820691108704,1.795764446258545,-0.21456369757652283,0.6552727410245444
76,1.3454563617706299,2.657594680786133,0.3942357301712036,-0.09288974074565229
77,0.5725581049919128,2.0818426609039307,-0.195668026804924,0.6907928302838439
78,1.3979302644729614,2.830324172973633,0.3748920261859894,-0.11446159260552717
79,1.6265897750854492,3.1655945777893066,0.6205881834030151,-0.08057409103665612
80,1.1515121459960938,2.533719062805176,0.20335030555725098,-0.0806031911326435
81,0.5695534944534302,1.913167119026184,-0.2038625329732895,0.6762318917130252
82,1.6350921392440796,4.0188117027282715,0.5672694444656372,-0.06370272481821228
83,1.6463054418563843,3.042830228805542,0.685186505317688,-0.07707527064171951
84,0.576059877872467,1.9212408065795898,-0.19390340149402618,0.6934644776260264
85,0.5569341778755188,1.8085383176803589,-0.2013191282749176,0.6900368216933981
86,1.1115102767944336,2.5398712158203125,0.1577712446451187,-0.13051012369382708
87,0.5627366304397583,1.8668204545974731,-0.21850340068340302,0.717580052441564
88,1.2901368141174316,2.546713352203369,0.3222767412662506,-0.10917245264651053
89,1.4093552827835083,2.8158960342407227,0.43452489376068115,-0.09306090584262161
90,2.8554651737213135,5.2480573654174805,1.8320785760879517,-0.05977968034207678
91,2.157438039779663,4.147381782531738,1.116927146911621,-0.07006831342436137
92,1.3003687858581543,2.7366201877593994,0.30306121706962585,-0.08990053756086544
93,1.352003574371338,2.5678277015686035,0.4022011160850525,-0.07601988238809651
94,1.7547829151153564,3.3131673336029053,0.7605519890785217,-0.08408834631967538
95,0.5687572360038757,1.9283087253570557,-0.2261156588792801,0.6401335722777377
96,0.5675120949745178,1.8017257452011108,-0.2314205914735794,0.6685278371622863
97,0.5526883006095886,1.6745758056640625,-0.21151921153068542,0.6878445689973806
98,0.5587843060493469,1.9633491039276123,-0.21630243957042694,0.6460435957862356
99,0.5706614851951599,1.8103338479995728,-0.2298828661441803,0.6678489554994754
