index,truth_path,ming_path,alex_path,alex_delta_to_rho,ming_log_mu,ming_log_sd,ming_ks,alex_log_mu,alex_log_sd,alex_ks,status,error
13,/scratch/adupuy/cosmicweb_asim/ASIM_TSC/samples/test/13.hdf5,/home/mingyeong/2510_GAL2DM_ASIM_ViT/results/vit_predictions/20251014_210016/13.hdf5,/scratch/adupuy/cosmicweb_asim/ASIM_TSC/samples/predictions/test_13_final_mode0_lr_min1e-07_max1e-05_200epochs_rho_240712_a100_cmb_f2.5.npy,True,0.13216917216777802,0.30921903252601624,0.24319999999999997,0.23669719696044922,0.3984915316104889,0.64066,ok,
14,/scratch/adupuy/cosmicweb_asim/ASIM_TSC/samples/test/14.hdf5,/home/mingyeong/2510_GAL2DM_ASIM_ViT/results/vit_predictions/20251014_210016/14.hdf5,/scratch/adupuy/cosmicweb_asim/ASIM_TSC/samples/predictions/test_14_final_mode0_lr_min1e-07_max1e-05_200epochs_rho_240712_a100_cmb_f2.5.npy,True,0.10716155916452408,0.2921375334262848,0.20651999999999998,0.21438372135162354,0.37705981731414795,0.63336,ok,
15,/scratch/adupuy/cosmicweb_asim/ASIM_TSC/samples/test/15.hdf5,/home/mingyeong/2510_GAL2DM_ASIM_ViT/results/vit_predictions/20251014_210016/15.hdf5,/scratch/adupuy/cosmicweb_asim/ASIM_TSC/samples/predictions/test_15_final_mode0_lr_min1e-07_max1e-05_200epochs_rho_240712_a100_cmb_f2.5.npy,True,0.11039372533559799,0.29509228467941284,0.21234,0.21579012274742126,0.3814501464366913,0.62728,ok,
16,/scratch/adupuy/cosmicweb_asim/ASIM_TSC/samples/test/16.hdf5,/home/mingyeong/2510_GAL2DM_ASIM_ViT/results/vit_predictions/20251014_210016/16.hdf5,/scratch/adupuy/cosmicweb_asim/ASIM_TSC/samples/predictions/test_16_final_mode0_lr_min1e-07_max1e-05_200epochs_rho_240712_a100_cmb_f2.5.npy,True,0.11834950000047684,0.3013083040714264,0.20992,0.21971213817596436,0.3886799216270447,0.6321,ok,
17,/scratch/adupuy/cosmicweb_asim/ASIM_TSC/samples/test/17.hdf5,/home/mingyeong/2510_GAL2DM_ASIM_ViT/results/vit_predictions/20251014_210016/17.hdf5,/scratch/adupuy/cosmicweb_asim/ASIM_TSC/samples/predictions/test_17_final_mode0_lr_min1e-07_max1e-05_200epochs_rho_240712_a100_cmb_f2.5.npy,True,0.12528695166110992,0.2941552996635437,0.23444,0.20274755358695984,0.3794527053833008,0.62106,ok,
18,/scratch/adupuy/cosmicweb_asim/ASIM_TSC/samples/test/18.hdf5,/home/mingyeong/2510_GAL2DM_ASIM_ViT/results/vit_predictions/20251014_210016/18.hdf5,/scratch/adupuy/cosmicweb_asim/ASIM_TSC/samples/predictions/test_18_final_mode0_lr_min1e-07_max1e-05_200epochs_rho_240712_a100_cmb_f2.5.npy,True,0.12238865345716476,0.3029662072658539,0.2227,0.22557465732097626,0.3876280188560486,0.63686,ok,
19,/scratch/adupuy/cosmicweb_asim/ASIM_TSC/samples/test/19.hdf5,/home/mingyeong/2510_GAL2DM_ASIM_ViT/results/vit_predictions/20251014_210016/19.hdf5,/scratch/adupuy/cosmicweb_asim/ASIM_TSC/samples/predictions/test_19_final_mode0_lr_min1e-07_max1e-05_200epochs_rho_240712_a100_cmb_f2.5.npy,True,0.12198427319526672,0.29421937465667725,0.22291999999999998,0.21602986752986908,0.3827691078186035,0.63468,ok,
20,/scratch/adupuy/cosmicweb_asim/ASIM_TSC/samples/test/20.hdf5,/home/mingyeong/2510_GAL2DM_ASIM_ViT/results/vit_predictions/20251014_210016/20.hdf5,/scratch/adupuy/cosmicweb_asim/ASIM_TSC/samples/predictions/test_20_final_mode0_lr_min1e-07_max1e-05_200epochs_rho_240712_a100_cmb_f2.5.npy,True,0.11724304407835007,0.3022214472293854,0.20414,0.21591684222221375,0.3855733573436737,0.6279399999999999,ok,
21,/scratch/adupuy/cosmicweb_asim/ASIM_TSC/samples/test/21.hdf5,/home/mingyeong/2510_GAL2DM_ASIM_ViT/results/vit_predictions/20251014_210016/21.hdf5,/scratch/adupuy/cosmicweb_asim/ASIM_TSC/samples/predictions/test_21_final_mode0_lr_min1e-07_max1e-05_200epochs_rho_240712_a100_cmb_f2.5.npy,True,0.13379235565662384,0.30098989605903625,0.23182000000000003,0.2231871336698532,0.3879171311855316,0.63334,ok,
22,/scratch/adupuy/cosmicweb_asim/ASIM_TSC/samples/test/22.hdf5,/home/mingyeong/2510_GAL2DM_ASIM_ViT/results/vit_predictions/20251014_210016/22.hdf5,/scratch/adupuy/cosmicweb_asim/ASIM_TSC/samples/predictions/test_22_final_mode0_lr_min1e-07_max1e-05_200epochs_rho_240712_a100_cmb_f2.5.npy,True,0.12592783570289612,0.3070918619632721,0.22415999999999997,0.23133091628551483,0.3949810564517975,0.63498,ok,
