Model,⟨log10(ρ_pred/ρ_truth)⟩ ± σ (across samples),"KS(ρ_pred, ρ_truth) ± σ (across samples)",N
Mingyeong (U-Net+ViT),+0.121 ± 0.009,+0.221 ± 0.012,1264
Alex (U-Net only),+0.216 ± 0.010,+0.630 ± 0.007,1264
